Empresa,Nombre completo,Categoria,Producto,Precio
Opticalia,"ÚNICA CON HIALURONATO con packing, 350 ml. Con Portalentes",Líquidos,Marca Propia,7.5
Opticalia,ÚNICA HERBAL 350ml. Con portalentes,Líquidos,Marca Propia,10.0
Opticalia,PEROXIDO (250 ml),Líquidos,Marca Propia,12.0
Opticalia,SOLUCIÓN SALINA (350 ml),Líquidos,Marca Propia,6.0
