,nombre_completo,categoria,precio
0,Afflelou MAGIC 77,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
1,Afflelou MAGIC 78,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
2,Afflelou MAGIC 37,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
3,Afflelou MAGIC 70,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
4,Afflelou MAGIC 13,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
5,Afflelou MAGIC 108,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
6,Afflelou MAGIC 105,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
7,Afflelou MAGIC 104,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
8,Afflelou MAGIC 109,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
9,Afflelou MAGIC 110,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
10,Afflelou MAGIC 112,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
11,Afflelou MAGIC 113,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
12,Afflelou MAGIC 115,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
13,Afflelou MAGIC 130,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
14,Afflelou MAGIC 123,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
15,Afflelou MAGIC 119,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
16,Afflelou MAGIC 120,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
17,Afflelou MAGIC 116,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
18,Afflelou MAGIC 117,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
19,Afflelou MAGIC 118,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
20,Afflelou MAGIC 97,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
21,Afflelou MAGIC 96,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
22,Afflelou MAGIC 95,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
23,Afflelou MAGIC 94,GAFAS GRADUADAS, span span span span159€span span*span spanprecio webspan 
