,nombre_completo,categoria,precio
0,Afflelou AFFLELOU FORTY SOLAR COLOR CAREY,GAFAS GRADUADAS, span span span span39€span span*span spanprecio webspan 
1,Afflelou FORTY FILTRO LUZ AZUL - NEGRO,GAFAS GRADUADAS, span span span span39€span span*span spanprecio webspan 
2,Afflelou BLUE BLOCK 1 MIXTE,GAFAS GRADUADAS, span span span span39€span span*span spanprecio webspan 
3,Afflelou ROMY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
4,Afflelou CARLA,GAFAS GRADUADAS, span span span span99€span 
5,Afflelou BETSY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
6,Afflelou MAGIC ARNO,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
7,Afflelou MAGIC TOM,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
8,Afflelou MAGIC AYDEN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
9,Afflelou MAGIC ACHILLE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
10,Afflelou MAGIC JAMES,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
11,Afflelou MAGIC ANGELO,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
12,Afflelou MAGIC MARINE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
13,Afflelou MAGIC LEA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
14,Afflelou MAGIC LEON,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
15,Afflelou MAGIC ISALINE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
16,Afflelou MAGIC SAMSON,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
17,Afflelou MAGIC TIM,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
18,Afflelou MAGIC IRIS,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
19,Afflelou MAGIC GASPARD,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
20,Afflelou MAGIC ARTHUR,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
21,Afflelou MAGIC MARCUS,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
22,Afflelou MAGIC MIKA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
23,Afflelou MAGIC MAVERICK,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
