,nombre_completo,categoria,precio
0,Afflelou BACH,GAFAS GRADUADAS, span span span span129€span 
1,Afflelou BRAHMS,GAFAS GRADUADAS, span span span span129€span 
2,Afflelou MOZART,GAFAS GRADUADAS, span span span span129€span 
3,Afflelou DEBUSSY,GAFAS GRADUADAS, span span span span129€span 
4,Afflelou OXYGEN,GAFAS GRADUADAS, span span span span129€span 
5,Afflelou NEON,GAFAS GRADUADAS, span span span span129€span 
6,Afflelou ARGON,GAFAS GRADUADAS, span span span span129€span 
7,Afflelou NERD,GAFAS GRADUADAS, span span span span129€span span*span spanprecio webspan 
8,Afflelou LIKE,GAFAS GRADUADAS, span span span span129€span span*span spanprecio webspan 
9,Afflelou MOOD,GAFAS GRADUADAS, span span span span129€span span*span spanprecio webspan 
10,Afflelou DUDE,GAFAS GRADUADAS, span span span span129€span span*span spanprecio webspan 
11,Afflelou JUNGLE,GAFAS GRADUADAS, span span span span129€span span*span spanprecio webspan 
12,Afflelou BLISS,GAFAS GRADUADAS, span span span span129€span span*span spanprecio webspan 
13,Afflelou MAGIC 29 BLUE BLOCK,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
14,Afflelou MAGIC 32,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
15,Afflelou MAGIC 35,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
16,Afflelou MAGIC 36,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
17,Afflelou MAGIC 38,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
18,Afflelou MAGIC 39,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
19,Afflelou MAGIC 45,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
20,Afflelou MAGIC 59,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
21,Afflelou MAGIC 60,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
22,Afflelou MAGIC 62,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
23,Afflelou MAGIC 64,GAFAS GRADUADAS, span span span span149€span span*span spanprecio webspan 
