,nombre_completo,precio
0,Lentillas Biofinity Mensual (6 lentillas),"desde 19,46€
"
1,Lentillas MyDay diarias (60 lentillas),"desde 33,09€
"
2,Lentillas Biofinity Toric Mensual (6 lentillas),"desde 34,85€
"
3,Lentillas Biofinity Toric XR Mensual (6 lentillas),"desde 64,52€
"
4,Lentillas MyDay Toric diarias (60 lentillas),"desde 47,52€
"
5,Solución única,"desde 3,90€
"
6,Comfort Drops,"6,90€
"
