,nombre_completo,categoria,producto,remplazo,precio
0,ACUVUE™ OASYS MULTIFOCAL 6 UNIDADES Quincenales,Lentillas,Acuvue,Lentillas quincenales: Quincenales,45
1,ACUVUE™ OASYS TRANSITIONS 6 UNIDADES QUINCENALES FOTOCROMATICAS,Lentillas,Acuvue,Lentillas quincenales: Quincenales,39
2,ACUVUE™ OASYS 12 UNIDADES QUINCENALES,Lentillas,Acuvue,Lentillas quincenales: Quincenales,45
3,ACUVUE™ OASYS 6 UNIDADES Quincenales,Lentillas,Acuvue,Lentillas quincenales: Quincenales,29
4,ACUVUE™ OASYS ASTIGMATISMO 6 UNIDADES QUINCENALES,Lentillas,Acuvue,Lentillas quincenales: Quincenales,34
