,nombre_completo,categoria,producto,reemplazo,precio
0,Opti-Free Puremoist Bi-Pack 2x300ml,Higiene y mantenimiento,Higiene y mantenimiento,Lentes blandas," span span span span31,3€span span spanprecio webspan "
1,Opti-Free Express 355ml,Higiene y mantenimiento,Higiene y mantenimiento,Lentes blandas," span span span span13,45€span span spanprecio webspan "
2,L’ÉPHÉMÈRE GOTAS HUMECTANTES (multidosis),Higiene y mantenimiento,Higiene y mantenimiento,Lentes blandas," span span span span5,5€span span spanprecio webspan "
3,L’ÉPHÉMÈRE GOTAS HUMECTANTES (monodosis),Higiene y mantenimiento,Higiene y mantenimiento,Lentes blandas," span span span span7,5€span span spanprecio webspan "
4,Opti-Free Puremoist 300ml,Higiene y mantenimiento,Higiene y mantenimiento,Lentes blandas," span span span span15,5€span span spanprecio webspan "
