,nombre_completo,categoria,producto,reemplazo,precio
0,LYON,Gafas,Mango,Ofertas montura + cristales,"89,00 €"
1,DESTINYS,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
2,PILOTS,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
3,MCLAN,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
4,BLUR,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
5,DOUBT,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
6,SMASHING,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
7,BLINK,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
8,OASIS,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
9,STONE,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
10,PIXIES,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
11,PEARL,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
12,NIMES,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
13,LILA,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
14,NANTES,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
15,CANNES,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
16,NIZA,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
17,MONTPELLIER,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
18,JACLYN,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
19,JACK,Gafas,Mango,Ofertas montura + cristales,"99,90 €"
