,nombre_completo,categoria,producto,reemplazo,precio
0,OPTI-FREE EXPRESS 355 ML.,Líquidos,Opti-Free,Líquidos: Opti-Free,8.9
1,OPTI-FREE PUREMOIST 300 ML,Líquidos,Opti-Free,Líquidos: Opti-Free,13.5
