,nombre_completo,categoria,producto,reemplazo,precio
0,LILY,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"89,90 €"
1,DAISY,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"89,90 €"
2,SUNFLOWER,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"89,90 €"
3,AURUM,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"89,90 €"
4,CHICORY,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"89,90 €"
5,POPPY,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"89,90 €"
6,POSY,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"89,90 €"
7,ROSE,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"89,90 €"
8,ZARZAMORA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
9,GERBERA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
10,MAGNOLIA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
11,BEGONIA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
12,DALIA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
13,CALA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
14,GERANIO,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
15,AMAPOLA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
16,JAZMIN,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
17,LAVANDA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"109,90 €"
18,GARDENIA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"119,90 €"
19,PETUNIA,Gafas,Victorio & Lucchino,Ofertas montura + cristales,"119,90 €"
