,nombre_completo,categoria,producto,reemplazo,precio
0,NAS,Gafas,Pull & Bear,Ofertas montura + cristales,"79,00 €"
1,PRIMAL,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
2,OASIS,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
3,VALENTINE,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
4,BLAKE,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
5,PIXIE,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
6,BLUR,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
7,VERVE,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
8,MOGWAI,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
9,SONIC,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
10,NIRVANA,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
11,ALANA,Gafas,Pull & Bear,Ofertas montura + cristales,"79,90 €"
12,LIZZIE,Gafas,Pull & Bear,Ofertas montura + cristales,"84,90 €"
13,NYJAH,Gafas,Pull & Bear,Ofertas montura + cristales,"84,90 €"
14,RONIE,Gafas,Pull & Bear,Ofertas montura + cristales,"84,90 €"
15,HOWK,Gafas,Pull & Bear,Ofertas montura + cristales,"84,90 €"
16,SMITH,Gafas,Pull & Bear,Ofertas montura + cristales,"84,90 €"
17,JAY,Gafas,Pull & Bear,Ofertas montura + cristales,"84,90 €"
18,TALIB,Gafas,Pull & Bear,Ofertas montura + cristales,"84,90 €"
19,JURASSIC,Gafas,Pull & Bear,Ofertas montura + cristales,"84,90 €"
