,nombre_completo,categoria,producto,reemplazo,precio
0,L'EPHEMERE AQUA DIARIAS - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span20€span span spanprecio webspan 
1,L'EPHEMERE AQUA DIARIAS TORIC - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span29€span span spanprecio webspan 
2,L'EPHEMERE AQUA DIARIAS MULTIFOCAL - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span32€span span spanprecio webspan 
3,L'EPHEMERE AQUA DIARIAS MULTIFOCAL - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span32€span span spanprecio webspan 
4,L'EPHEMERE CONFORT PLUS ESFÉRICA DIARIA - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span15€span span spanprecio webspan 
5,L'EPHEMERE BASIC MENSUALES - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span25€span span spanprecio webspan 
