,nombre_completo,categoria,producto,remplazo,precio
0,POLAROID PLD D485 KJ1,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
1,TOMMY HILFIGER TH 2008 GWM,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
2,TOMMY HILFIGER TH 1981 S S3S IR,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
